aluno,escolha1,escolha2
196,167
99,115
51,28
130,81
27,45
129,59
34,24
95,116
43,181
39,121
131,178
1,198
65,20
165,33
182,75
74,26
186,85
4,69
104,125
158,19
156,100
36,144
13,91
203,183
171,143
35,185
106,49
175,32
136,166
66,64
61,63
118,120
25,174
101,127
192,77
82,11
10,140
207,149
199,12
163,103
18,48
134,191
150,92
41,113
168,87
42,172
62,201
8,54
7,110
161,97
152,109
123,6
53,179
155,157
73,122
88,83
200,209
72,89
55,21
160,15
176,146
133,14
169,137
79,142
68,78
84,37
164,114
112,94
96,86
124,151
153,188
159,173
206,197
170,60
17,117
119,70
194,57
46,180
90,2
40,56
126,98
44,31
105,184
177,58
47,29
3,71
205,190
139,93
9,202
210,50
16,189
162,30
187,128
76,80
148,195
111,108
135,208
67,38
154,52
107,147
132,5
138,22
145,102
193,204
23,141
